date,key,type,name,original_date,state,county
2020-06-02,rhode_island/20200602,election,Presidential Primary,2020-06-02,rhode_island,
2020-09-08,rhode_island/20200908,election,Congressional Primary,2020-09-08,rhode_island,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
