date,key,type,name,original_date,state,county
2020-03-17,arizona/20200317,election,Presidential Preference (Democrats),2020-03-17,arizona,
2020-08-04,arizona/20200804,election,Congressional Primary,2020-08-04,arizona,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
