date,key,type,name,original_date,state,county
2020-03-03,virginia/20200303,election,Presidential Primary (Democrats),2020-03-03,virginia,
2020-06-23,virginia/20200623,election,Congressional Primary,2020-06-23,virginia,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
