date,key,type,name,original_date,state,county
2020-03-10,michigan/20200310,election,Presidential Primary,2020-03-10,michigan,
2020-08-04,michigan/20200804,election,Congressional Primary,2020-08-04,michigan,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
