date,key,type,name,original_date,state,county
2020-07-11,louisiana/20200711,election,Presidential Primary,2020-07-11,louisiana,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
2020-12-05,louisiana/20201205,election,General Run-Off (if needed),2020-12-05,louisiana,
