date,key,type,name,original_date,state,county
2020-03-03,north_carolina/20200303,election,Congressional & Presidential Primary,2020-03-03,north_carolina,
2020-06-23,north_carolina/20200512,election,Congressional Primary Run-Off (if needed),2020-05-12,north_carolina,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
