date,key,type,name,original_date,state,county
2020-02-29,south_carolina/20200229,election,Presidential Primary (Democrats),2020-02-29,south_carolina,
2020-06-09,south_carolina/20200609,election,Congressional Primary,2020-06-09,south_carolina,
2020-06-23,south_carolina/20200623,election,Congressional Primary Run-Off (if needed),2020-06-23,south_carolina,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
