date,key,type,name,original_date,state,county
2020-03-03,minnesota/20200303,election,Presidential Primary,2020-03-03,minnesota,
2020-08-11,minnesota/20200811,election,Congresssional Primary,2020-08-11,minnesota,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
