date,key,type,name,original_date,state,county
2020-03-03,arkansas/20200303,election,Congressional & Presidential Primary,2020-03-03,arkansas,
2020-03-31,arkansas/20200331,election,Congressional Primary Run-Off (if needed),2020-03-31,arkansas,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
