date,key,type,name,original_date,state,county
2020-04-28,new_york/20200428,election,Presidential Primary,2020-04-28,new_york,
2020-06-23,new_york/20200623,election,Congressional Primary,2020-06-23,new_york,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
