date,key,type,name,original_date,state,county
2020-06-07,puerto_rico/20200607,election,Presidential Primary (Republican),2020-06-07,puerto_rico,
2020-07-12,puerto_rico/20200712,election,Presidential Primary (Democrat),2020-07-12,puerto_rico,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
