date,key,type,name,original_date,state,county
2020-03-03,texas/20200303,election,Congressional & Presidential Primary,2020-03-03,texas,
2020-07-14,texas/20200714,election,Congressional Primary Run-Off (if needed),2020-07-14,texas,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
