date,key,type,name,original_date,state,county
2020-03-03,massachusetts/20200303,election,Presidential Primary,2020-03-03,massachusetts,
2020-09-01,massachusetts/20200901,election,Congressional Primary,2020-09-01,massachusetts,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
