date,key,type,name,original_date,state,county
2020-03-03,tennessee/20200303,election,Presidential Primary,2020-03-03,tennessee,
2020-08-06,tennessee/20200806,election,Congressional Primary,2020-08-06,tennessee,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
