date,key,type,name,original_date,state,county
2020-03-03,oklahoma/20200303,election,Presidential Primary,2020-03-03,oklahoma,
2020-06-30,oklahoma/20200630,election,Congressional Primary,2020-06-30,oklahoma,
2020-08-25,oklahoma/20200825,election,Congressional Primary Run-off (if needed),2020-08-25,oklahoma,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
