date,key,type,name,original_date,state,county
2020-04-07,wisconsin/20200407,election,Presidential Primary,2020-04-07,wisconsin,
2020-08-11,wisconsin/20200811,election,Congressional Primary,2020-08-11,wisconsin,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
