date,key,type,name,original_date,state,county
2020-06-02,south_dakota/20200602,election,Congressional & Presidential Primary,2020-06-02,south_dakota,
2020-08-11,south_dakota/20200811,election,Congressional Primary Run-Off (if needed),2020-08-11,south_dakota,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
