date,key,type,name,original_date,state,county
2020-06-09,georgia/20200609,election,Presidential Primary,2020-06-09,georgia,
2020-08-11,georgia/20200811,election,Congressional Primary Run-off (if needed),2020-08-11,georgia,
2020-11-03,20201103,election,General (Presidential) Election,2020-11-03,,
2021-01-05,georgia/20210105,election,General Run-Off (if needed),2021-01-05,georgia,
